item_id,context,inference_type,trigger,target_prejacent,competitor_prejacent,distractor_1_prejacent,distractor_2_prejacent,speaker
3,"You and your friend Mary watched a history drama on TV, but you missed the end of the movie. You ask Mary: “What happened at the end?” Mary replies: ",too_little,The movie ended.,Mary did not like the movie.,the movie ended.,Mary really likes TV in general.,Mary likes historical dramas in general.,Mary
3,"You and your friend Mary watched a history drama on TV, but you missed the end of the movie. You ask Mary: “What happened at the end?” Mary replies: ",too_much,The king ended the rebellion by assembling a lot of angry men with weapons and armor to fight against other angry men with weapons and armor on a muddy field and in the end the king’s men won.,the movie had a rather predictable ending.,the king ended the rebellion by assembling a lot of angry men with weapons and armor to fight against other angry men with weapons and armor on a muddy field and in the end the king’s men won.,Mary really likes TV in general.,Mary likes historical dramas in general.,Mary
3,"You and your friend Mary watched a history drama on TV, but you missed the end of the movie. You ask Mary: “What happened at the end?” Mary replies: ",irrelevant,The next program was about animals.,Mary would rather not talk about the movie.,the next program was about animals.,Mary really likes TV in general.,Mary likes historical dramas in general.,Mary
3,"You and your friend Mary watched a history drama on TV, but you missed the end of the movie. You ask Mary: “What happened at the end?” Mary replies: ",marked,The king caused the rebellion in his country to end.,"the king made the rebellion end in an intriguing manner, e.g., by clever plotting.","the king made the rebellion end in a straightforward manner, e.g., by defeating all enemies.",Mary really likes TV in general.,Mary likes historical dramas in general.,Mary
3,"You and your friend Mary watched a history drama on TV, but you missed the end of the movie. You ask Mary: “What happened at the end?” Mary replies: ",baseline,The king ended the rebellion unexpectedly in a dramatic way.,the king ended the rebellion unexpectedly in a dramatic way.,the king’s son was a famous poet.,Mary really likes TV in general.,Mary likes historical dramas in general.,Mary
4,Sam went to a dinner party of your mutual colleague Brandon. You ask Sam: “How was the dinner?” Sam replies: ,too_little,There was food.,the dinner party was not very exciting.,there was food.,Sam is a vegetarian.,Brandon’s partner organized the party.,Sam
4,Sam went to a dinner party of your mutual colleague Brandon. You ask Sam: “How was the dinner?” Sam replies: ,too_much,The extravagant taste of the dishes reminded me of a fusion between salt-free vegan cuisine and a child’s cooking experiments.,the food was not very good.,the extravagant taste of the dishes reminded me of a fusion between salt-free vegan cuisine and a child’s cooking experiments.,Sam is a vegetarian.,Brandon’s partner organized the party.,Sam
4,Sam went to a dinner party of your mutual colleague Brandon. You ask Sam: “How was the dinner?” Sam replies: ,irrelevant,Brandon’s house has a nice garden.,Sam does not want to talk about it.,Brandon’s house has a nice garden.,Sam is a vegetarian.,Brandon’s partner organized the party.,Sam
4,Sam went to a dinner party of your mutual colleague Brandon. You ask Sam: “How was the dinner?” Sam replies: ,marked,The dinner quickly caused the guests not to want more.,"the dinner caused the guests not to want more food in an indirect, non-stereotypical way, e.g., because it was rather bad.","the dinner caused the guests not to want more food in a direct, natural way, e.g., because it was rather filling.",Sam is a vegetarian.,Brandon’s partner organized the party.,Sam
4,Sam went to a dinner party of your mutual colleague Brandon. You ask Sam: “How was the dinner?” Sam replies: ,baseline,The dinner was great.,the dinner was great.,nobody showed up for Brandon’s party.,Sam is a vegetarian.,Brandon’s partner organized the party.,Sam
5,"Mika just met your mutual friend John, who took his driver’s test yesterday. You ask Mika: “How did John’s driver’s test go?” Mika replies: ",too_little,John took the test.,Mika does not know the results of the test yet.,John took the test.,John is a big fan of automotive vehicles.,Mika and John are planning a vacation together.,Mika
5,"Mika just met your mutual friend John, who took his driver’s test yesterday. You ask Mika: “How did John’s driver’s test go?” Mika replies: ",too_much,"John got into the car, released the handbrake, and moved the car up until the next crossroad.",John messed up his driver’s test.,"John got into the car, released the handbrake, and moved the car up until the next crossroad.",John is a big fan of automotive vehicles.,Mika and John are planning a vacation together.,Mika
5,"Mika just met your mutual friend John, who took his driver’s test yesterday. You ask Mika: “How did John’s driver’s test go?” Mika replies: ",irrelevant,John and I just had great coffee.,Mika does not want to talk about John’s driver’s test.,John and Mika just had great coffee.,John is a big fan of automotive vehicles.,Mika and John are planning a vacation together.,Mika
5,"Mika just met your mutual friend John, who took his driver’s test yesterday. You ask Mika: “How did John’s driver’s test go?” Mika replies: ",marked,John caused the car to stop at a crossroad.,"John stopped the car unintentionally, e.g., by stepping on the wrong foot pedal.","John stopped the car intentionally, e.g., by stepping on the brake pedal.",John is a big fan of automotive vehicles.,Mika and John are planning a vacation together.,Mika
5,"Mika just met your mutual friend John, who took his driver’s test yesterday. You ask Mika: “How did John’s driver’s test go?” Mika replies: ",baseline,John passed the test.,John passed the test.,John already had a driver’s license.,John is a big fan of automotive vehicles.,Mika and John are planning a vacation together.,Mika
6,"You are at Ann’s birthday party with you friend Kim. A couple of minutes ago, the lights turned off. You ask Kim: “What happened to the lights?” Kim replies: ",too_little,The lights turned off.,Kim does not know what happened.,the lights turned off.,the party is coming to an end.,Kim does not like parties.,Kim
6,"You are at Ann’s birthday party with you friend Kim. A couple of minutes ago, the lights turned off. You ask Kim: “What happened to the lights?” Kim replies: ",too_much,"Ann went to five different stores, bought all the party lights each had on offer, and then moved with her ladder through the whole house to cover every inch of wall or ceiling with a power-hungry electronic light.",Ann’s decorations led to a power outage in the house.,"Ann set up many fun electronic gadgets for her party, forgetting that a regular house might not support a thousand feet of lights.",the party is coming to an end.,Kim does not like parties.,Kim
6,"You are at Ann’s birthday party with you friend Kim. A couple of minutes ago, the lights turned off. You ask Kim: “What happened to the lights?” Kim replies: ",irrelevant,The music is great tonight!,Kim does not want to talk about the lights.,the music is great tonight.,the party is coming to an end.,Kim does not like parties.,Kim
6,"You are at Ann’s birthday party with you friend Kim. A couple of minutes ago, the lights turned off. You ask Kim: “What happened to the lights?” Kim replies: ",marked,Ann caused the lights to turn off.,Ann unintentionally did something that caused the lights to turn off.,Ann switched off the lights.,the party is coming to an end.,Kim does not like parties.,Kim
6,"You are at Ann’s birthday party with you friend Kim. A couple of minutes ago, the lights turned off. You ask Kim: “What happened to the lights?” Kim replies: ",baseline,Ann overloaded the energy grid and the lights went off.,Ann overloaded the energy grid and the lights went off.,Ann’s house is for sale.,the party is coming to an end.,Kim does not like parties.,Kim
7,Your friend Bo recently opened a new restaurant. Maxi and your other mutual friends tried the restaurant on the last weekend. You ask Maxi: “How was the restaurant?” Maxi replies:,too_little,The restaurant was open.,the restaurant was not very good.,the restaurant was open.,many new restaurants have opened recently.,Maxi usually likes to go out for diner.,Maxi
7,Your friend Bo recently opened a new restaurant. Maxi and your other mutual friends tried the restaurant on the last weekend. You ask Maxi: “How was the restaurant?” Maxi replies:,too_much,"The restaurant’s menu offered gluten-free, low-calorie, cholesterol-friendly options with portion sizes adequate for a kids’ menu.",Maxi is critical of the new restaurant.,"the restaurant’s menu offered gluten-free, low-calorie, cholesterol-friendly options with portion sizes adequate for a kids’ menu.",many new restaurants have opened recently.,Maxi usually likes to go out for diner.,Maxi
7,Your friend Bo recently opened a new restaurant. Maxi and your other mutual friends tried the restaurant on the last weekend. You ask Maxi: “How was the restaurant?” Maxi replies:,irrelevant,I also went on a hike last weekend.,Maxi does not want to talk about Bo’s restaurant.,Maxi also went on a hike last weekend.,many new restaurants have opened recently.,Maxi usually likes to go out for diner.,Maxi
7,Your friend Bo recently opened a new restaurant. Maxi and your other mutual friends tried the restaurant on the last weekend. You ask Maxi: “How was the restaurant?” Maxi replies:,marked,Bo caused everybody to abstain from desert.,"Bo made everybody abstain in an unintended manner, e.g., because the main dish was already quite bad.","Bo made everybody abstain from ordering desert intentionally, e.g., by telling them not to.",many new restaurants have opened recently.,Maxi usually likes to go out for diner.,Maxi
7,Your friend Bo recently opened a new restaurant. Maxi and your other mutual friends tried the restaurant on the last weekend. You ask Maxi: “How was the restaurant?” Maxi replies:,baseline,The restaurant was packed.,the restaurant was packed.,the restaurant was not open yet.,many new restaurants have opened recently.,Maxi usually likes to go out for diner.,Maxi
8,You have heard that there is a new art exhibition featuring a world famous painting. Your friend Li went to see the painting on the weekend. You ask Li: “How was the painting?” Li replies:,too_little,The painting was there.,the painting was not exceptional.,the painting was there.,Li is a big fan of contemporary art in general.,the city has a vibrant artistic community.,Li
8,You have heard that there is a new art exhibition featuring a world famous painting. Your friend Li went to see the painting on the weekend. You ask Li: “How was the painting?” Li replies:,too_much,"The artist bought some paint, brushes and canvas, and used the brushes to apply the paint to the canvas.",the painting was underwhelming and not worth the attention.,"the artist bought some paint, brushes and canvas, and used the brushes to apply the paint to the canvas.",Li is a big fan of contemporary art in general.,the city has a vibrant artistic community.,Li
8,You have heard that there is a new art exhibition featuring a world famous painting. Your friend Li went to see the painting on the weekend. You ask Li: “How was the painting?” Li replies:,irrelevant,The coffeeshop in the gallery was great.,Li does not want to talk about the painting.,the coffeeshop in the gallery was great.,Li is a big fan of contemporary art in general.,the city has a vibrant artistic community.,Li
8,You have heard that there is a new art exhibition featuring a world famous painting. Your friend Li went to see the painting on the weekend. You ask Li: “How was the painting?” Li replies:,marked,The artist caused the spectators’ minds to wander freely.,"the artist made the spectator’s minds wander freely unintentionally, e.g., because the artwork was so boring.","the artist made the spectator’s minds wander freely intentionally, e.g., as the main purpose of their art.",Li is a big fan of contemporary art in general.,the city has a vibrant artistic community.,Li
8,You have heard that there is a new art exhibition featuring a world famous painting. Your friend Li went to see the painting on the weekend. You ask Li: “How was the painting?” Li replies:,baseline,The painting was excellent.,the painting was excellent.,the exhibition was featuring a child’s painting.,Li is a big fan of contemporary art in general.,the city has a vibrant artistic community.,Li
9,John went to a soccer match where his friend Emma played. You ask John: 'How did Emma play?'. John replies:,too_little,Emma played.,Emma's soccer skill are not exceptional.,Emma played.,John likes football.,John could easily find the stadium.,John
9,John went to a soccer match where his friend Emma played. You ask John: 'How did Emma play?'. John replies:,too_much,Emma moved her body in a way that is consistent with the rules of soccer.,Emma's soccer skills are not good.,Emma moved her body in a way that is consistent with the rules of soccer.,John likes football.,John could easily find the stadium.,John
9,John went to a soccer match where his friend Emma played. You ask John: 'How did Emma play?'. John replies:,irrelevant,Emma had nice shoes.,John does not want to talk about Emma's soccer skills.,Emma had nice shoes.,John likes football.,John could easily find the stadium.,John
9,John went to a soccer match where his friend Emma played. You ask John: 'How did Emma play?'. John replies:,marked,Emma caused a goal to be scored.,Emma scored a goal indirectly or by mistake.,Emma scored a goal intentionally.,John likes football.,John could easily find the stadium.,John
9,John went to a soccer match where his friend Emma played. You ask John: 'How did Emma play?'. John replies:,baseline,Emma played very well.,Emma played very well.,Emma played badly.,John likes football.,John could easily find the stadium.,John
10,Emma attended a cooking competition where your mutual friend Sophie was a participant. You ask Emma: 'How did Sophie do in the competition?'. Emma replies:,too_little,Sophie participated.,Sophie's cooking was not good.,Sophie cooked.,Emma tried Sophie's cake.,Emma arrived late to the competition.,Emma
10,Emma attended a cooking competition where your mutual friend Sophie was a participant. You ask Emma: 'How did Sophie do in the competition?'. Emma replies:,too_much,"Sophie chopped the right ingredients, put them together and cooked them to the appropriate temperature.",Sophie's dancing was not good.,Sophie put the ingredients together in the right order and cooked them to the appropriate temperature.,Emma tried Sophie's cake.,Emma arrived late to the competition.,Emma
10,Emma attended a cooking competition where your mutual friend Sophie was a participant. You ask Emma: 'How did Sophie do in the competition?'. Emma replies:,irrelevant,The host of the competition cooked some great dishes.,Emma does not want to talk about Sophie's performance.,the host of the competition cooked some great dishes.,Emma tried Sophie's cake.,Emma arrived late to the competition.,Emma
10,Emma attended a cooking competition where your mutual friend Sophie was a participant. You ask Emma: 'How did Sophie do in the competition?'. Emma replies:,marked,Sophie made the judges abstain from trying the dish.,"Sophie made the judges abstain unintentionally, e.g. by burning the dish.","Sophie made the judges abstain intentionally, e.g. by telling them not to try the dish.",Emma tried Sophie's cake.,Emma arrived late to the competition.,Emma
10,Emma attended a cooking competition where your mutual friend Sophie was a participant. You ask Emma: 'How did Sophie do in the competition?'. Emma replies:,baseline,Sophie did very well.,Sophie did very well.,Sophie's dancing was not good.,Emma tried Sophie's cake.,Emma arrived late to the competition.,Emma
11,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,too_little,Jane performed.,Jane's performance was not good.,Jane performed.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
11,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,too_much,Jane tuned her instrument and then made sounds at the appropriate volume for most of the night.,Jane's performance was not good.,Jane tuned her instrument and then made sounds at the appropriate volume for most of the night.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
11,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,irrelevant,The food trucks at the concert venue were great.,Bo does not want to talk about Jane’s performance.,the food trucks at the concert venue were great.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
11,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,marked,Jane’s playing caused some attendees to have fun.,"Jane played in a way that unintentionally caused amusement, e.g., because it was bad.","Jane played in a way that intentionally caused amusement, e.g., she held the guitar in a funny way.",Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
11,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,baseline,Jane's performance was terrible.,Jane's performance was terrible.,Jane's performance was very good.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
12,Jack attended the premier of a new drama at a renown theatre in your city. You ask Jack: 'How was the drama?'. Jack replies:,too_little,The actors were there.,the new drama was not good.,the actors were there.,Jack used to take acting classes in college.,the drama was based on Jack’s favourite book.,Jack
12,Jack attended the premier of a new drama at a renown theatre in your city. You ask Jack: 'How was the drama?'. Jack replies:,too_much,"The actors said some words that formed sentences, performed the some movements, and bowed at the end.",the new drama was not good.,"the actors said some words that formed sentences, performed the some movements, and bowed at the end.",Jack used to take acting classes in college.,the drama was based on Jack’s favourite book.,Jack
12,Jack attended the premier of a new drama at a renown theatre in your city. You ask Jack: 'How was the drama?'. Jack replies:,irrelevant,The foyer of the theatre had beautiful plants.,Jack does not want to talk about the new drama.,the foyer of the theatre had beautiful plants.,Jack used to take acting classes in college.,the drama was based on Jack’s favourite book.,Jack
12,Jack attended the premier of a new drama at a renown theatre in your city. You ask Jack: 'How was the drama?'. Jack replies:,marked,The drama caused some attendees to yawn.,"the performance unintentionally made the audience yawn, e.g., because it was boring.","the performance intentionally made the audience yawn, e.g., because they told the attendees to do so.",Jack used to take acting classes in college.,the drama was based on Jack’s favourite book.,Jack
12,Jack attended the premier of a new drama at a renown theatre in your city. You ask Jack: 'How was the drama?'. Jack replies:,baseline,The drama was great.,the drama was great.,The drama was not good.,Jack used to take acting classes in college.,the drama was based on Jack’s favourite book.,Jack
13,Ole went to an art exhibition where your mutual friend John exhibited his paintings. You ask Ole: 'How was John's portrait?'. Ole replies:,too_little,John's portrait was there.,John's portrait was not good.,John's painting was there.,Ole admired John's artistic ability in high school.,Ole helped John set up his studio downtown.,Ole
13,Ole went to an art exhibition where your mutual friend John exhibited his paintings. You ask Ole: 'How was John's portrait?'. Ole replies:,too_much,John exhibited a canvas that interesting lines drawn all over it that made a shape that resembled a face.,John's portrait was not good.,John exhibited a canvas that interesting lines drawn all over it that made a shape that resembled a face.,Ole admired John's artistic ability in high school.,Ole helped John set up his studio downtown.,Ole
13,Ole went to an art exhibition where your mutual friend John exhibited his paintings. You ask Ole: 'How was John's portrait?'. Ole replies:,irrelevant,The canapes were excellent.,Ole does not want to talk about John's portrait.,the canapes were excellent.,Ole admired John's artistic ability in high school.,Ole helped John set up his studio downtown.,Ole
13,Ole went to an art exhibition where your mutual friend John exhibited his paintings. You ask Ole: 'How was John's portrait?'. Ole replies:,marked,John's portrait did not cause the attendees to stop in front of it.,"John's portrait didn’t not cause the interest of the attendees unintentionally, e.g. because it was not very interesting.","John's portrait didn’t not cause the interest of the attendees intentionally, e.g. because it was not exhibited.",Ole admired John's artistic ability in high school.,Ole helped John set up his studio downtown.,Ole
13,Ole went to an art exhibition where your mutual friend John exhibited his paintings. You ask Ole: 'How was John's portrait?'. Ole replies:,baseline,John's portrait was beautiful.,John's portrait was beautiful.,John's portrait was not good.,Ole admired John's artistic ability in high school.,Ole helped John set up his studio downtown.,Ole
14,Your friend Jo is a big bookworm. They attended the biggest annual book fair in your city last weekend where Jo wanted to meet their favourite author. You ask Jo: 'How was Emma's book fair?'. Jo replies:,too_little,The fair took place.,The fair was disappointing.,the fair took place.,Jo once proofread a chapter of their favorite author’s first novel.,Jo used to work at their local library.,Jo
14,Your friend Jo is a big bookworm. They attended the biggest annual book fair in your city last weekend where Jo wanted to meet their favourite author. You ask Jo: 'How was Emma's book fair?'. Jo replies:,too_much,Authors of each and every single book that I do not find interesting attended and met their fans.,Jo didn’t get to meet their favourite author.,authors of each and every single book that I do not find interesting attended and met their fans.,Jo once proofread a chapter of their favorite author’s first novel.,Jo used to work at their local library.,Jo
14,Your friend Jo is a big bookworm. They attended the biggest annual book fair in your city last weekend where Jo wanted to meet their favourite author. You ask Jo: 'How was Emma's book fair?'. Jo replies:,irrelevant,The venue of the book fair was nice.,John does not want to talk about the reception of Emma's book.,the venue of the book fair was nice.,Jo once proofread a chapter of their favorite author’s first novel.,Jo used to work at their local library.,Jo
14,Your friend Jo is a big bookworm. They attended the biggest annual book fair in your city last weekend where Jo wanted to meet their favourite author. You ask Jo: 'How was Emma's book fair?'. Jo replies:,marked,The fair caused some people to doubt that reading is a cool hobby.,"the fair caused people to doubt that reading is a cool hobby unintentionally, e.g. because it was not well-organised. ","the fair caused people to doubt that reading is a cool hobby intentionally, e.g. because it promoted cool sports. ",Jo once proofread a chapter of their favorite author’s first novel.,Jo used to work at their local library.,Jo
14,Your friend Jo is a big bookworm. They attended the biggest annual book fair in your city last weekend where Jo wanted to meet their favourite author. You ask Jo: 'How was Emma's book fair?'. Jo replies:,baseline,The book fair was amazing.,the book fair was amazing.,the book fair was bad.,Jo once proofread a chapter of their favorite author’s first novel.,Jo used to work at their local library.,Jo
15,Emma went to a dance competition where your mutual colleague Sophie was a participant. You ask Emma: 'How did Sophie perform in the competition?'. Emma replies:,too_little,Sophie danced.,Sophie's dancing was good.,Sophie danced.,Emma used to take Sophie’s dance classes.,Sophie also participated in a chess competition.,Emma
15,Emma went to a dance competition where your mutual colleague Sophie was a participant. You ask Emma: 'How did Sophie perform in the competition?'. Emma replies:,too_much,"Sophie moved her arms and legs around in a way that roughly followed the beat of the music, and stopped when the music stopped.",Sophie's dancing was not great.,"Sophie moved her arms and legs around in a way that roughly followed the beat of the music, and stopped when the music stopped.",Emma used to take Sophie’s dance classes.,Sophie also participated in a chess competition.,Emma
15,Emma went to a dance competition where your mutual colleague Sophie was a participant. You ask Emma: 'How did Sophie perform in the competition?'. Emma replies:,irrelevant,Sophie's dress looked great.,Emma does not want to talk about Sophie's performance.,Sophie's dress looked great.,Emma used to take Sophie’s dance classes.,Sophie also participated in a chess competition.,Emma
15,Emma went to a dance competition where your mutual colleague Sophie was a participant. You ask Emma: 'How did Sophie perform in the competition?'. Emma replies:,marked,Sophie's dancing made the audience laugh.,"Sophie unintentionally made the audience laugh, e.g. by dancing off-beat.","Sophie intentionally made the audience laugh, e.g. by performing a comedy sketch.",Emma used to take Sophie’s dance classes.,Sophie also participated in a chess competition.,Emma
15,Emma went to a dance competition where your mutual colleague Sophie was a participant. You ask Emma: 'How did Sophie perform in the competition?'. Emma replies:,baseline,Sophie performed very well.,Sophie performed very well.,Sophie performed very badly.,Emma used to take Sophie’s dance classes.,Sophie also participated in a chess competition.,Emma
16,Your college friends Ann and Tony teamed up and participated in a coding hackathon. You ask Tony: 'How did you do in the hackathon?'. Tony replies:,too_little,We participated.,Tony is thinks the hackathon did not go well.,Tony and Ann participated.,Tony once helped Ann debug a complex piece of software.,Ann likes to build keyboards.,Tony
16,Your college friends Ann and Tony teamed up and participated in a coding hackathon. You ask Tony: 'How did you do in the hackathon?'. Tony replies:,too_much,"We stared at our screens for a long time, wrote many lines of code and got a rough idea of the task.",Tony is not happy with their team’s outcome at the hackathon.,"Tony and Ann stared at their screens for a long time, wrote many lines of code and got a rough idea of the task.",Tony once helped Ann debug a complex piece of software.,Ann likes to build keyboards.,Tony
16,Your college friends Ann and Tony teamed up and participated in a coding hackathon. You ask Tony: 'How did you do in the hackathon?'. Tony replies:,irrelevant,some people there had very fancy laptops.,Sophie does not want to talk about Jack's performance.,some people there had very fancy laptops.,Tony once helped Ann debug a complex piece of software.,Ann likes to build keyboards.,Tony
16,Your college friends Ann and Tony teamed up and participated in a coding hackathon. You ask Tony: 'How did you do in the hackathon?'. Tony replies:,marked,Our code caused an interruption at the event.,"Tony and Ann unintentionally coded something that interrupted the event, e.g. by accidentally overloading the network.","Tony and Ann intentionally coded something that interrupted the event, e.g. by building malware.",Tony once helped Ann debug a complex piece of software.,Ann likes to build keyboards.,Tony
16,Your college friends Ann and Tony teamed up and participated in a coding hackathon. You ask Tony: 'How did you do in the hackathon?'. Tony replies:,baseline,We did pretty well in the hackathon.,Tony and Ann did pretty well in the hackathon.,Tony and Ann did not do well in the hackathon.,Tony once helped Ann debug a complex piece of software.,Ann likes to build keyboards.,Tony
17,Leila attended a new photography class in your town. You ask Leila: 'How was the class?'. Leila replies:,too_little,We took photos.,the class was not exceptional.,We took photos.,Leila once modelled for a photo session.,Leila is a fan of arts and crafts.,Leila
17,Leila attended a new photography class in your town. You ask Leila: 'How was the class?'. Leila replies:,too_much,"People gathered in class, discussed that they would like to learn photography, stared at some cameras and went back home.",the class did not meet Leila’s expectations.,"people gathered in class, discussed that they would like to learn photography, stared at some cameras and went back home.",Leila once modelled for a photo session.,Leila is a fan of arts and crafts.,Leila
17,Leila attended a new photography class in your town. You ask Leila: 'How was the class?'. Leila replies:,irrelevant,Some participants wore nice outfits.,Leila does not want to talk about the photography class.,some participants wore nice outfits.,Leila once modelled for a photo session.,Leila is a fan of arts and crafts.,Leila
17,Leila attended a new photography class in your town. You ask Leila: 'How was the class?'. Leila replies:,marked,The class made me regret spending the money on the fee.,Leila did not anticipate that she will not like the class and regrets signing up for it.,Leila anticipate that she will not like the class but signed up nonetheless because she was told to.,Leila once modelled for a photo session.,Leila is a fan of arts and crafts.,Leila
17,Leila attended a new photography class in your town. You ask Leila: 'How was the class?'. Leila replies:,baseline,The class was fun.,the class was fun.,the class was boring.,Leila once modelled for a photo session.,Leila is a fan of arts and crafts.,Leila
18,Oliver went to a poetry reading where your mutual friend Kirby read their poetry. You ask Oliver: 'How was Kirby’s poem?'. Oliver replies:,too_little,People heard Kirby's poem.,John's poetry was not exceptional.,people heard John's reading.,Oliver and Kirby once co-wrote a poem for their literature class.,the poem was about alpine landscapes.,Oliver
18,Oliver went to a poetry reading where your mutual friend Kirby read their poetry. You ask Oliver: 'How was Kirby’s poem?'. Oliver replies:,too_much,Kirby uttered a series of words that were consistent in style with the what poetry is supposed to sound like.,Kirby's poetry was not good.,John uttered a series of words that were consistent in style with the what poetry is supposed to sound like.,Oliver and Kirby once co-wrote a poem for their literature class.,the poem was about alpine landscapes.,Oliver
18,Oliver went to a poetry reading where your mutual friend Kirby read their poetry. You ask Oliver: 'How was Kirby’s poem?'. Oliver replies:,irrelevant,The venue was nice.,Oliver does not want to talk about Kirby's poem.,the venue was nice.,Oliver and Kirby once co-wrote a poem for their literature class.,the poem was about alpine landscapes.,Oliver
18,Oliver went to a poetry reading where your mutual friend Kirby read their poetry. You ask Oliver: 'How was Kirby’s poem?'. Oliver replies:,marked,Kirby’s reading caused the audience to have some strong reactions.,"Kirby's poem unintentionally caused negative reactions, e.g. because the reading was chaotic.","Kirby's poem intentionally caused negative reactions, e.g. because of its polarising content.",Oliver and Kirby once co-wrote a poem for their literature class.,the poem was about alpine landscapes.,Oliver
18,Oliver went to a poetry reading where your mutual friend Kirby read their poetry. You ask Oliver: 'How was Kirby’s poem?'. Oliver replies:,baseline,Kirby’s reading went okay.,Kirby’s reading went okay.,Kirby’s reading went excellent.,Oliver and Kirby once co-wrote a poem for their literature class.,the poem was about alpine landscapes.,Oliver
19,You heard that your friend Jia went to an arthouse film festival for the first time and watched a hyped new movie. You ask Jia: 'How was the movie?'. Jia replies:,too_little,The movie was screened.,the movie was not very interesting.,the movie was screened.,Jia once worked on a short film project herself.,your city often hosts movie festivals.,Jia
19,You heard that your friend Jia went to an arthouse film festival for the first time and watched a hyped new movie. You ask Jia: 'How was the movie?'. Jia replies:,too_much,The movie played at the expected number of frames per second with a series of various scenes.,the movie was very enjoyable because it was difficult to understand.,the movie played at the expected number of frames per second with a series of various scenes.,Jia once worked on a short film project herself.,your city often hosts movie festivals.,Jia
19,You heard that your friend Jia went to an arthouse film festival for the first time and watched a hyped new movie. You ask Jia: 'How was the movie?'. Jia replies:,irrelevant,The ads before the movie were excellent.,Jia does not want to talk about the movie.,the ads before the movie were excellent.,Jia once worked on a short film project herself.,your city often hosts movie festivals.,Jia
