submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,item_id,languages,options,options_list,options_order,orientation,question,randomize,response,responseTime,trial_nr,split_order,split_options,chosen_option_ind,chosen_option
670,50,NA,irrelevant,Graduated High-school,127065,1693818200065,1693818073000,male,24,English,Alex once volunteered as an assistant in a magic trick.|the  magic tricks were not very good.|there were some magic tricks.|the magician had a trick with birds.,Alex once volunteered as an assistant in a magic trick.|the  magic tricks were not very good.|there were some magic tricks.|the magician had a trick with birds.,distractor_1_prejacent|target_prejacent|competitor_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the  magic tricks were not very good.,23783,2,,,2,target_prejacent
688,38,NA,irrelevant,Graduated High-school,93744,1693818863414,1693818769670,female,24,English,"the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.|the magician had a trick with birds.|Alex once volunteered as an assistant in a magic trick.|the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.","the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.|the magician had a trick with birds.|Alex once volunteered as an assistant in a magic trick.|the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.",target_prejacent|distractor_2_prejacent|distractor_1_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,"the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.",13986,2,,,4,competitor_prejacent
716,49,None,marked,Graduated High-school,184418,1693819904842,1693819720424,female,24,english,the magic tricks were not good.|the magic tricks were good.|the magician had a trick with birds.|Alex once volunteered as an assistant in a magic trick.,the magic tricks were not good.|the magic tricks were good.|the magician had a trick with birds.|Alex once volunteered as an assistant in a magic trick.,competitor_prejacent|target_prejacent|distractor_2_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the magic tricks were good.,23975,2,,,2,target_prejacent
722,37,NA,baseline,Graduated College,154751,1693819985191,1693819830440,female,24,NA,"the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.|the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.|the magician had a trick with birds.|Alex once volunteered as an assistant in a magic trick.","the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.|the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.|the magician had a trick with birds.|Alex once volunteered as an assistant in a magic trick.",target_prejacent|competitor_prejacent|distractor_2_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,"the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.",39778,2,,,2,competitor_prejacent
731,62,NA,too_much,NA,244918,1693820243895,1693819998977,female,24,English,the magician had a trick with birds.|the  magic tricks were not very good.|there were some magic tricks.|Alex once volunteered as an assistant in a magic trick.,the magician had a trick with birds.|the  magic tricks were not very good.|there were some magic tricks.|Alex once volunteered as an assistant in a magic trick.,distractor_2_prejacent|target_prejacent|competitor_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,there were some magic tricks.,28248,2,,,3,competitor_prejacent
745,36,NA,irrelevant,Graduated High-school,131175,1693820621442,1693820490267,female,24,English,the magic tricks were good.|Alex once volunteered as an assistant in a magic trick.|the magic tricks were not good.|the magician had a trick with birds.,the magic tricks were good.|Alex once volunteered as an assistant in a magic trick.|the magic tricks were not good.|the magician had a trick with birds.,target_prejacent|distractor_1_prejacent|competitor_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the magic tricks were good.,25262,2,,,1,target_prejacent
775,38,NA,too_much,Graduated High-school,284189,1693821335974,1693821051785,female,24,English,the magician had a trick with birds.|Alex once volunteered as an assistant in a magic trick.|the magic tricks were not good.|the magic tricks were good.,the magician had a trick with birds.|Alex once volunteered as an assistant in a magic trick.|the magic tricks were not good.|the magic tricks were good.,distractor_2_prejacent|distractor_1_prejacent|competitor_prejacent|target_prejacent,vertical,Which of the following four sentences best expresses what Alex meant with their utterance?,FALSE,the magic tricks were good.,22728,2,,,4,target_prejacent
444,60,NA,too_little,Graduated College,102221,1692826053473,1692825951252,female,23,English,Jo was the first to encourage John to try stand-up comedy.|John performed.|Josh tested his new jokes on Jo before performing them live.|Josh’s performance was not very good.,Jo was the first to encourage John to try stand-up comedy.|John performed.|Josh tested his new jokes on Jo before performing them live.|Josh’s performance was not very good.,distractor_1_prejacent|competitor_prejacent|distractor_2_prejacent|target_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh’s performance was not very good.,17057,2,,,4,target_prejacent
462,26,NA,too_much,Graduated High-school,203357,1692826644336,1692826440979,male,23,English,Josh uttered a series of words with an intonation that suggested they were meant to be jokes.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Josh’s performance was not very good.,Josh uttered a series of words with an intonation that suggested they were meant to be jokes.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Josh’s performance was not very good.,competitor_prejacent|distractor_1_prejacent|distractor_2_prejacent|target_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh’s performance was not very good.,47794,2,,,4,target_prejacent
499,49,NA,too_much,Graduated High-school,97989,1692861759603,1692861661614,female,23,English,Josh's performance was boring.|Josh's performance was hilarious.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.,Josh's performance was boring.|Josh's performance was hilarious.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.,competitor_prejacent|target_prejacent|distractor_2_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh's performance was hilarious.,10497,2,,,2,target_prejacent
492,24,NA,too_little,Higher degree,73952,1692861728049,1692861654097,female,23,english,Josh tested his new jokes on Jo before performing them live.|Josh’s performance was not very good.|Josh uttered a series of words with an intonation that suggested they were meant to be jokes.|Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.|Josh’s performance was not very good.|Josh uttered a series of words with an intonation that suggested they were meant to be jokes.|Jo was the first to encourage John to try stand-up comedy.,distractor_2_prejacent|target_prejacent|competitor_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh’s performance was not very good.,12514,2,,,2,target_prejacent
514,26,NA,too_little,Graduated High-school,187842,1692861846755,1692861658913,female,23,english,Josh tested his new jokes on Jo before performing them live.|John performed.|Josh’s performance was not very good.|Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.|John performed.|Josh’s performance was not very good.|Jo was the first to encourage John to try stand-up comedy.,distractor_2_prejacent|competitor_prejacent|target_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,John performed.,6476,2,,,2,competitor_prejacent
526,53,Everything worked well. Thank you!,marked,Graduated College,194382,1692862028245,1692861833863,female,23,English,"Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Josh's performance intentionally or indirectly caused the audience's silence, e.g., because he performed a serious piece.","Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Josh's performance intentionally or indirectly caused the audience's silence, e.g., because he performed a serious piece.",target_prejacent|distractor_1_prejacent|distractor_2_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,"Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.",45957,2,,,1,target_prejacent
531,26,None,irrelevant,Graduated College,178071,1692862301842,1692862123771,male,23,English,Josh’s performance was not very good.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.|Josh uttered a series of words with an intonation that suggested they were meant to be jokes.,Josh’s performance was not very good.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.|Josh uttered a series of words with an intonation that suggested they were meant to be jokes.,target_prejacent|distractor_2_prejacent|distractor_1_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh uttered a series of words with an intonation that suggested they were meant to be jokes.,56201,2,,,4,competitor_prejacent
532,43,NA,baseline,Graduated High-school,1197821,1692862809978,1692861612157,female,23,English,"Josh tested his new jokes on Jo before performing them live.|Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.|Jo was the first to encourage John to try stand-up comedy.|Josh's performance intentionally or indirectly caused the audience's silence, e.g., because he performed a serious piece.","Josh tested his new jokes on Jo before performing them live.|Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.|Jo was the first to encourage John to try stand-up comedy.|Josh's performance intentionally or indirectly caused the audience's silence, e.g., because he performed a serious piece.",distractor_2_prejacent|target_prejacent|distractor_1_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,"Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.",16736,2,,,2,target_prejacent
559,26,NA,too_much,Graduated College,135261,1693490008507,1693489873246,male,23,English,Jo does not want to talk about Josh’s performance.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|John is a great cook.,Jo does not want to talk about Josh’s performance.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|John is a great cook.,target_prejacent|distractor_1_prejacent|distractor_2_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Jo does not want to talk about Josh’s performance.,22229,2,,,1,target_prejacent
577,35,NA,irrelevant,Graduated College,122835,1693490126155,1693490003320,male,23,English,Jo was the first to encourage John to try stand-up comedy.|Josh's performance was hilarious.|Josh tested his new jokes on Jo before performing them live.|Josh's performance was boring.,Jo was the first to encourage John to try stand-up comedy.|Josh's performance was hilarious.|Josh tested his new jokes on Jo before performing them live.|Josh's performance was boring.,distractor_1_prejacent|target_prejacent|distractor_2_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh's performance was hilarious.,20047,2,,,2,target_prejacent
566,47,NA,baseline,Graduated College,150644,1693490038158,1693489887514,female,23,English,Josh’s performance was not very good.|Josh tested his new jokes on Jo before performing them live.|John performed.|Jo was the first to encourage John to try stand-up comedy.,Josh’s performance was not very good.|Josh tested his new jokes on Jo before performing them live.|John performed.|Jo was the first to encourage John to try stand-up comedy.,target_prejacent|distractor_2_prejacent|competitor_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh’s performance was not very good.,19166,2,,,1,target_prejacent
589,40,n/a,irrelevant,Graduated High-school,119322,1693490439486,1693490320164,male,23,NA,Josh tested his new jokes on Jo before performing them live.|John is a great cook.|Jo does not want to talk about Josh’s performance.|Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.|John is a great cook.|Jo does not want to talk about Josh’s performance.|Jo was the first to encourage John to try stand-up comedy.,distractor_2_prejacent|competitor_prejacent|target_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Jo does not want to talk about Josh’s performance.,10764,2,,,3,target_prejacent
614,26,NA,baseline,Graduated High-school,152754,1693490528412,1693490375658,male,23,English,Josh tested his new jokes on Jo before performing them live.|Josh's performance was boring.|Jo was the first to encourage John to try stand-up comedy.|Josh's performance was hilarious.,Josh tested his new jokes on Jo before performing them live.|Josh's performance was boring.|Jo was the first to encourage John to try stand-up comedy.|Josh's performance was hilarious.,distractor_2_prejacent|competitor_prejacent|distractor_1_prejacent|target_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh's performance was hilarious.,18961,2,,,4,target_prejacent
625,44,NA,irrelevant,Graduated College,90752,1693490602494,1693490511742,male,23,English,John is a great cook.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Jo does not want to talk about Josh’s performance.,John is a great cook.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Jo does not want to talk about Josh’s performance.,competitor_prejacent|distractor_1_prejacent|distractor_2_prejacent|target_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Jo does not want to talk about Josh’s performance.,24868,2,,,4,target_prejacent
659,22,NA,too_little,Graduated High-school,60932,1693816969414,1693816908482,female,23,english,Josh tested his new jokes on Jo before performing them live.|Jo does not want to talk about Josh’s performance.|Jo was the first to encourage John to try stand-up comedy.|John is a great cook.,Josh tested his new jokes on Jo before performing them live.|Jo does not want to talk about Josh’s performance.|Jo was the first to encourage John to try stand-up comedy.|John is a great cook.,distractor_2_prejacent|target_prejacent|distractor_1_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,John is a great cook.,12138,2,,,4,competitor_prejacent
673,51,NA,too_much,Graduated College,287398,1693818354399,1693818067001,male,23,English,Josh’s performance was not very good.|Josh uttered a series of words with an intonation that suggested they were meant to be jokes.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.,Josh’s performance was not very good.|Josh uttered a series of words with an intonation that suggested they were meant to be jokes.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.,target_prejacent|competitor_prejacent|distractor_2_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh’s performance was not very good.,62971,2,,,1,target_prejacent
675,31,NA,marked,Graduated High-school,115691,1693818486358,1693818370667,male,23,English,John performed.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.|Josh’s performance was not very good.,John performed.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.|Josh’s performance was not very good.,competitor_prejacent|distractor_2_prejacent|distractor_1_prejacent|target_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh’s performance was not very good.,26959,2,,,4,target_prejacent
699,29,n/a,marked,Graduated College,144752,1693819373237,1693819228485,male,23,English,Josh tested his new jokes on Jo before performing them live.|John performed.|Josh’s performance was not very good.|Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.|John performed.|Josh’s performance was not very good.|Jo was the first to encourage John to try stand-up comedy.,distractor_2_prejacent|competitor_prejacent|target_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,John performed.,8813,2,,,2,competitor_prejacent
724,71,None,baseline,Higher degree,189864,1693820056864,1693819867000,male,23,English,Josh’s performance was not very good.|Josh tested his new jokes on Jo before performing them live.|John performed.|Jo was the first to encourage John to try stand-up comedy.,Josh’s performance was not very good.|Josh tested his new jokes on Jo before performing them live.|John performed.|Jo was the first to encourage John to try stand-up comedy.,target_prejacent|distractor_2_prejacent|competitor_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh’s performance was not very good.,46651,2,,,1,target_prejacent
729,75,NA,baseline,Graduated College,187022,1693820134079,1693819947057,female,23,English,Josh's performance was hilarious.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Josh's performance was boring.,Josh's performance was hilarious.|Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Josh's performance was boring.,target_prejacent|distractor_1_prejacent|distractor_2_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh's performance was hilarious.,24274,2,,,1,target_prejacent
735,74,NA,irrelevant,Higher degree,88031,1693820406962,1693820318931,male,23,English,Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Jo does not want to talk about Josh’s performance.|John is a great cook.,Jo was the first to encourage John to try stand-up comedy.|Josh tested his new jokes on Jo before performing them live.|Jo does not want to talk about Josh’s performance.|John is a great cook.,distractor_1_prejacent|distractor_2_prejacent|target_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,John is a great cook.,10637,2,,,4,competitor_prejacent
753,32,NA,marked,Graduated College,217483,1693820974147,1693820756664,female,23,English,"Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.|Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.|Josh's performance intentionally or indirectly caused the audience's silence, e.g., because he performed a serious piece.","Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.|Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.|Josh's performance intentionally or indirectly caused the audience's silence, e.g., because he performed a serious piece.",distractor_2_prejacent|distractor_1_prejacent|target_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,"Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.",60809,2,,,3,target_prejacent
758,59,NA,too_much,Graduated High-school,217500,1693821045872,1693820828372,female,23,English,John performed.|Jo was the first to encourage John to try stand-up comedy.|Josh’s performance was not very good.|Josh tested his new jokes on Jo before performing them live.,John performed.|Jo was the first to encourage John to try stand-up comedy.|Josh’s performance was not very good.|Josh tested his new jokes on Jo before performing them live.,competitor_prejacent|distractor_1_prejacent|target_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh’s performance was not very good.,77586,2,,,3,target_prejacent
768,62,NA,marked,Graduated High-school,117453,1693821215137,1693821097684,female,23,English,Jo was the first to encourage John to try stand-up comedy.|Jo does not want to talk about Josh’s performance.|John is a great cook.|Josh tested his new jokes on Jo before performing them live.,Jo was the first to encourage John to try stand-up comedy.|Jo does not want to talk about Josh’s performance.|John is a great cook.|Josh tested his new jokes on Jo before performing them live.,distractor_1_prejacent|target_prejacent|competitor_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Jo does not want to talk about Josh’s performance.,23372,2,,,2,target_prejacent
779,42,NA,baseline,Graduated High-school,129546,1693821433914,1693821304368,male,23,English,Josh's performance was boring.|Josh's performance was hilarious.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.,Josh's performance was boring.|Josh's performance was hilarious.|Josh tested his new jokes on Jo before performing them live.|Jo was the first to encourage John to try stand-up comedy.,competitor_prejacent|target_prejacent|distractor_2_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jo meant with their utterance?,FALSE,Josh's performance was hilarious.,15462,2,,,2,target_prejacent
446,38,NA,too_much,Graduated College,127208,1692826176520,1692826049312,male,22,English,"Jesse’s colleagues attended the pottery class, too.|Jesse made something out of clay that had the same general shape as pots normally do.|Jesse’s pot was not very good.|The pottery class teacher required taking a drawing class beforehand.","Jesse’s colleagues attended the pottery class, too.|Jesse made something out of clay that had the same general shape as pots normally do.|Jesse’s pot was not very good.|The pottery class teacher required taking a drawing class beforehand.",distractor_1_prejacent|competitor_prejacent|target_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Jesse meant with their utterance?,FALSE,Jesse made something out of clay that had the same general shape as pots normally do.,32472,2,,,2,competitor_prejacent
451,44,NA,too_little,Graduated College,126942,1692826351521,1692826224579,male,22,english,"Jesse’s colleagues attended the pottery class, too.|Jesse’s work was not very successful.|The pottery class teacher required taking a drawing class beforehand.","Jesse’s colleagues attended the pottery class, too.|Jesse’s work was not very successful.|The pottery class teacher required taking a drawing class beforehand.",distractor_1_prejacent|target_prejacent|distractor_2_prejacent,vertical,Which of the following four sentences best expresses what Jesse meant with their utterance?,FALSE,Jesse’s work was not very successful.,34243,2,,,2,target_prejacent
484,40,NA,irrelevant,Graduated High-school,111313,1692861688123,1692861576810,male,22,English,"Jesse does not want to talk about the pottery class.|Jesse’s colleagues attended the pottery class, too.|The pottery class teacher required taking a drawing class beforehand.|a painting class took place next door to the pottery class.","Jesse does not want to talk about the pottery class.|Jesse’s colleagues attended the pottery class, too.|The pottery class teacher required taking a drawing class beforehand.|a painting class took place next door to the pottery class.",target_prejacent|distractor_1_prejacent|distractor_2_prejacent|competitor_prejacent,vertical,Which of the following four sentences best expresses what Jesse meant with their utterance?,FALSE,Jesse does not want to talk about the pottery class.,31886,2,,,1,target_prejacent
571,48,n/a,too_much,Graduated College,187278,1693490085013,1693489897735,male,22,English,"Jesse’s colleagues attended the pottery class, too.|a painting class took place next door to the pottery class.|The pottery class teacher required taking a drawing class beforehand.|Jesse does not want to talk about the pottery class.","Jesse’s colleagues attended the pottery class, too.|a painting class took place next door to the pottery class.|The pottery class teacher required taking a drawing class beforehand.|Jesse does not want to talk about the pottery class.",distractor_1_prejacent|competitor_prejacent|distractor_2_prejacent|target_prejacent,vertical,Which of the following four sentences best expresses what Jesse meant with their utterance?,FALSE,Jesse does not want to talk about the pottery class.,46131,2,,,4,target_prejacent
562,47,NA,baseline,Graduated High-school,146042,1693490024039,1693489877997,male,22,english,"The pottery class teacher required taking a drawing class beforehand.|Jesse’s work was not very successful.|Jesse’s colleagues attended the pottery class, too.","The pottery class teacher required taking a drawing class beforehand.|Jesse’s work was not very successful.|Jesse’s colleagues attended the pottery class, too.",distractor_2_prejacent|target_prejacent|distractor_1_prejacent,vertical,Which of the following four sentences best expresses what Jesse meant with their utterance?,FALSE,Jesse’s work was not very successful.,24251,2,,,2,target_prejacent
